ID,m0,m12,a0,tanb,vs,lam,b0,lamp,lamf,lmmix,mh,mW,mZp,mCha,mChi1,mChi2,mFe4,mHI01,mHI02,mHIP1,mChiP1,mChiP2,mChaP1,muegamma,mueee,loglike,CLs,zplim,HBobsr,HSpval,SModelSr,SModelSrm1,Result
1353,3772.8803705193873,1700.172371162556,-2443.269118581444,29.28207262455772,13864.574125044093,0.05893231413666596,1956.2804906170052,0.07116825520726124,7.758139088851726e-05,0.49571495838561636,1.23347520E+02,8.03600403E+01,4.47156697E+03,5.18908649E+02,2.85228477E+02,5.19028459E+02,4.67624573E+03,3.94864067E+03,5.33682370E+03,5.33677863E+03,2.40077997E-04,1.00940946E+03,1.00423504E+03,1.21533017E-25,1.51766839E-27,1.2864496101784169,0.3238869387196726,0.9401152391531156,0.7577719900632914,0.4134241628134656,0.2684715,-0.7315285,0.021959514175211556
1433,3831.8805307701627,1759.8526678237117,-2446.0818633925082,32.154421411707375,15155.65440794854,0.047272659598072204,1486.0667662683577,0.08307698704605962,0.001802783895614257,0.4627185850379924,1.23154804E+02,8.03592577E+01,4.88370968E+03,5.04396528E+02,2.97597907E+02,5.05321857E+02,4.66665594E+03,3.86376063E+03,5.49293176E+03,5.49294587E+03,4.68050837E-03,1.28761155E+03,1.28390965E+03,1.25471268E-25,1.87814803E-27,0.5432159025001314,0.5427657255103464,0.2487192121747149,0.757712248868769,0.40833739260155055,0.1348722,-0.8651278,0.04257212479464301
1442,3869.566548880853,1823.760840885143,-1312.5105922504613,38.7278923322738,17407.288436351355,0.07070851978532207,1849.3332761408656,0.059336652501017204,-0.007807112118743378,0.43189453597138255,1.22860970E+02,8.03585716E+01,5.61203390E+03,5.88239129E+02,3.12809550E+02,5.88141313E+02,4.65855774E+03,3.57394247E+03,5.35170250E+03,5.35174024E+03,1.66777166E-02,1.07262245E+03,1.06842388E+03,3.20470714E-25,1.85067349E-27,0.10903989886047477,0.8058213891582244,0.04908824665647879,0.7575831225836179,0.40115232431619563,0.4277284,-0.5722716,0.05577179107680063
1456,3811.6981000207516,1649.7711528872471,-1536.6134480000483,33.147018192630995,19358.488714621973,0.014268702029384421,1233.827725344115,0.02869122122579621,0.001854584898622592,0.4227449417500482,1.22525272E+02,8.03611569E+01,6.28914761E+03,2.13574162E+02,1.96548383E+02,-2.26301638E+02,4.73059798E+03,3.28165301E+03,5.00673708E+03,5.00675929E+03,5.05993280E-03,6.00098456E+02,5.92422176E+02,4.24388634E-28,2.71745938E-27,0.013131802795620394,0.9838824722891645,0.028934447950917264,0.7577885193009466,0.37869671316704456,1.012003,0.012002999999999986,0.03148104888265625
1460,2967.9100232948413,1535.349084057093,-1313.1227717249817,25.387378509292,16143.507565438034,0.09316249596496688,1195.0221644453202,0.023479607581859872,-0.004843834361445091,0.4730850613584217,1.23103743E+02,8.03641171E+01,5.22904663E+03,4.74337908E+02,2.50000297E+02,4.74186440E+02,4.71863860E+03,2.99382915E+03,3.44137416E+03,3.44105101E+03,2.40198808E-02,4.09778859E+02,3.96925348E+02,3.42962622E-25,2.16160384E-27,0.24957445286275243,0.6984215364167445,0.13848379463559704,0.7575637899972403,0.4058075912617378,1.651961,0.651961,0.0027309403570836663
1461,3909.734494999595,1855.359165039367,-2034.5536285014482,27.894971129207484,14408.214080892794,0.04706134696815585,1990.6696370843772,0.0723205099827021,-0.001011418441537037,0.47433558469258624,1.23073887E+02,8.03597948E+01,4.64921884E+03,4.95292303E+02,3.10739356E+02,4.97099765E+02,4.67135984E+03,4.03329269E+03,5.67053697E+03,5.67053608E+03,3.02511962E-03,1.07062289E+03,1.06597025E+03,5.96643175E-26,1.62254966E-27,0.8875731210505754,0.42523480334784725,0.360836271234408,0.7577273591185448,0.4042524818778509,0.1614793,-0.8385207,0.03020745108250712
1498,3835.8208448672603,1687.676072567697,-1807.6269547140473,35.14141568673073,19743.23497570935,0.020635390099365145,1177.5670790950244,0.01434091944434898,-0.0002957030688315078,0.4130261619057244,1.23085966E+02,8.03662243E+01,6.42559146E+03,3.12606371E+02,2.55568576E+02,3.25964636E+02,4.75001261E+03,3.20313424E+03,4.97042662E+03,4.97047130E+03,1.14903785E-03,3.20786411E+02,3.06294775E+02,1.21434272E-26,1.80593193E-27,0.019959058813702697,0.9856197733405292,0.02456910945570968,0.757827518514762,0.40111856346771435,0.5036406,-0.4963594,0.09376781307891395
1501,3798.7042692413847,1746.309472768647,-1326.0823357279498,37.73676022732912,17136.108419945027,0.059652658033716444,1777.3902712167255,0.06154767508344275,-0.007689925303011832,0.4200743448347124,1.22461471E+02,8.03589212E+01,5.52735066E+03,5.55153563E+02,2.97218753E+02,5.55066782E+02,4.66558228E+03,3.56902579E+03,5.32557943E+03,5.32564382E+03,1.63329872E-02,1.09937025E+03,1.09540996E+03,2.73231151E-25,6.24565169E-27,0.13541011243017514,0.7847431553003994,0.053522506283473895,0.7574237713947535,0.3876976538370682,0.3896983,-0.6103017,0.048735982725795914
1474,3653.7640531015704,2005.9552778319835,-2488.6502272326406,22.126771039934788,13677.6060282713,0.02337199092819207,1311.8344316700902,0.017344680261185522,-0.003488404480414148,0.44648831256668126,1.24382498E+02,8.03715945E+01,4.44837645E+03,2.52397625E+02,2.36704202E+02,-2.63471085E+02,4.75534512E+03,3.90961777E+03,5.31286172E+03,5.31290572E+03,2.56647257E-02,2.73169827E+02,2.54505884E+02,1.13883858E-27,4.98640281E-27,1.322518012011413,0.3267188494522533,0.9062402624027781,0.7586397356802896,0.42595131398367225,0.5137338,-0.4862662,0.04131432767426482
1497,3673.9330984569983,1534.4836732920132,-2965.906813209037,33.47094795646913,15063.690057556125,0.03769377418651945,1447.2283319747874,0.05922572115454906,0.003486309194588146,0.4831544689475669,1.23867193E+02,8.03600261E+01,4.86334557E+03,4.01075625E+02,2.51729538E+02,4.03107600E+02,4.69755870E+03,3.72474119E+03,5.02755129E+03,5.02749761E+03,9.50418590E-03,9.24220893E+02,9.18676143E+02,7.33916435E-26,1.69062123E-27,0.5544776636288713,0.5435873878031534,0.24499847446482406,0.7580399818744372,0.427097374529661,0.2605941,-0.7394059,0.05111552153502475
1544,3846.2417556286205,1640.5048028502174,-1998.699629318639,35.408597799761964,18099.261347184787,0.04780733978927331,1752.596663910774,0.05763800141472165,-0.0076715965158120104,0.4298939022738669,1.22589460E+02,8.03588932E+01,5.84036377E+03,5.13538631E+02,2.77736167E+02,5.13508367E+02,4.67404689E+03,3.46908094E+03,5.23534256E+03,5.23538180E+03,1.80720641E-02,1.08823476E+03,1.08411842E+03,1.19659568E-25,1.11254508E-27,0.03163113670295456,0.9113041185934357,0.040317904683467375,0.7574700147669148,0.3916341501793743,0.3206019,-0.6793981,0.05723352724633442
1538,3606.4960280062696,1773.7173212450089,-2058.9049947031463,30.28843202214778,19995.88875117132,0.021887327908592664,1110.4964352180189,0.026495944053002325,-0.0005797712713981225,0.4271560437875402,1.23278437E+02,8.03604866E+01,6.48412901E+03,3.38128684E+02,2.77129362E+02,3.50879672E+02,4.71763554E+03,2.94596527E+03,4.43248869E+03,4.43244330E+03,1.86051339E-03,5.71337800E+02,5.63169047E+02,1.82457682E-26,2.10239655E-27,0.020085981049971214,0.9864487738960482,0.0238296948836146,0.7579315767860364,0.4077865402927672,0.4431296,-0.5568704,0.07510956272987786
1522,3870.291152526429,1528.4072552224618,-1932.2600680510093,26.054452387524353,14647.729971963483,0.037008198053264635,1788.8159127754352,0.08931663773336976,-0.0010371244211577453,0.44853431061437893,1.21938571E+02,8.03604608E+01,4.72905545E+03,3.93059224E+02,2.52190575E+02,3.95649099E+02,4.68108347E+03,3.99188773E+03,5.72483127E+03,5.72487859E+03,2.90918868E-03,1.34316555E+03,1.33974666E+03,9.35658109E-27,2.23566438E-27,0.7667025234194228,0.4598801974032279,0.3268329888031301,0.7573418457957941,0.0018833499723908131,0.05671449,-0.94328551,0.00012108014572513609
1581,3839.3938426393265,1635.85722924969,-2822.99733676056,36.33563875859123,16102.162576319373,0.04611757433091905,1332.044021075309,0.056984657354056674,0.005047212909013837,0.4962384302390256,1.23630460E+02,8.03594662E+01,5.19520458E+03,4.87538029E+02,2.74415873E+02,4.87894956E+02,4.68354706E+03,3.71021388E+03,5.12806174E+03,5.12797356E+03,1.30926218E-02,9.45303413E+02,9.39745936E+02,1.36846455E-25,1.36134972E-27,0.27205615323154175,0.68435898346091,0.14726923306491735,0.7579111034145518,0.4223608390596185,0.2518242,-0.7481758000000001,0.06294917331973432
1578,3762.2213402676716,1811.1132052614994,-1989.1149563006848,25.395705845895947,14520.566972703004,0.02010908184607796,1201.3912252982814,0.019301399555262787,-0.0038780540780164324,0.4848908001966993,1.23547459E+02,8.03703923E+01,4.72612320E+03,2.25663729E+02,2.09504805E+02,-2.37637402E+02,4.75575681E+03,3.90254095E+03,5.25646247E+03,5.25639455E+03,2.29143344E-02,3.14644991E+02,2.97252598E+02,2.04965195E-28,4.12503884E-27,0.731434575321348,0.4812835811564047,0.29819456549464957,0.7581791147041959,0.4046118215641148,0.5703222,-0.4296778,0.0595640607009019
1593,2853.2067071458478,1578.7908137827799,-1506.5358832499821,24.90280148779265,14408.000405244085,0.07879660818455476,1421.0290095708585,0.03873593513534737,0.004983613717759574,0.46831820766873494,1.22800987E+02,8.03617068E+01,4.65896488E+03,4.86247187E+02,2.58106814E+02,4.86107014E+02,4.70699739E+03,3.17103925E+03,3.56539557E+03,3.56512141E+03,2.03487589E-02,5.89570429E+02,5.80893191E+02,5.08168970E-25,3.01649407E-27,0.8525137626361636,0.43972194681172416,0.3419841547469766,0.7574257200504311,0.3958834618255189,0.9296331,-0.07036690000000001,0.01904736923285162
1650,3685.7096996764403,1666.28453142223,-2185.1896741416635,27.0129256251221,19712.087171621843,0.027793903108166897,1122.6800371729719,0.04417978860941589,-0.000747299330513645,0.43570617650201365,1.22867734E+02,8.03591590E+01,6.37490352E+03,4.11192282E+02,2.74067611E+02,4.14397795E+02,4.69445304E+03,3.09277058E+03,4.67651123E+03,4.67647499E+03,2.25156806E-03,9.17169880E+02,9.12128535E+02,1.45673524E-26,2.02652418E-27,0.018107635073908075,0.9851555360855243,0.026790564170788147,0.7577129022532377,0.39690797334390626,0.2588483,-0.7411517000000001,0.06457117912666577
1664,3514.5313221899114,1726.152920375887,-2359.39062034471,34.14746265712811,18351.283133769994,0.0476305692601538,1558.3845425876366,0.06440933411061525,-0.002782393429436883,0.40958104295176573,1.23179950E+02,8.03582807E+01,5.91374641E+03,5.39911640E+02,2.93603907E+02,5.39904615E+02,4.66803754E+03,3.11459466E+03,4.64446162E+03,4.64451291E+03,6.44785958E-03,1.23264237E+03,1.22925646E+03,2.35300072E-25,1.69516194E-27,0.02735270509219695,0.9472936689930429,0.03909849157451696,0.757714988475581,0.41042566550356574,0.3350312,-0.6649688,0.06665036714194042
1666,3838.9988046275985,1526.1906604318538,-2689.7002120447705,39.17141479759447,18474.97847562284,0.037801988865631395,1389.829558226376,0.04391866234360827,0.004778231429254208,0.42895348673165,1.23054413E+02,8.03593237E+01,5.96950231E+03,4.54986715E+02,2.54517892E+02,4.55278654E+02,4.69432834E+03,3.36592996E+03,5.06954187E+03,5.06958137E+03,1.09070269E-02,8.56662878E+02,8.51345670E+02,9.16115527E-26,1.12978090E-27,0.025562341894071895,0.9648677812647561,0.0370534513324085,0.7576353830184447,0.4066885528968187,0.3251824,-0.6748176,0.06850513302119515
